F&A Name,Loc#,AS400 Name,YTD Avg,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,Begin FY,End YTD,Chg #,Chg %,,,
Ace's Game Room,3108,ACE'S GAME ROOM,10,10,10,10,10,10,10,-,-,-,10,-,-,10,10,0,-,,,
Action Lanes,437,ACTION LANES,20,20,20,20,20,20,20,-,-,-,20,-,-,20,20,0,-,,,
Algiers Recreation Center,3145,ALGIERS REC CTR,14,14,14,14,14,14,14,-,-,-,-,-,-,14,14,0,-,,,
Arena Bowl,2895,THE ARENA B/C,40,39,39,41,41,41,41,-,-,-,-,-,-,39,39,0,-,,,
Beach Head,2394,BEACH HEAD,11,11,11,11,11,11,11,11,-,11,11,-,-,11,11,0,-,,,
BOQ,2890,BOQ,10,10,10,10,10,10,10,-,-,-,-,-,-,10,10,0,-,,,
Butler Bowl,1111,BUTLER B/C,27,27,27,27,27,27,27,27,-,27,27,-,-,27,27,0,-,,,
Capo Olde Town Slots,2588,CAPO OLDE TOWN SLOTS,22,22,22,22,21,22,22,-,-,-,-,-,-,22,22,0,-,,,
El Guerrero,891,El Guerrero,20,20,20,20,20,20,-,-,20,20,21,-,-,20,20,0,-,,,
Casey Bowl,819,"BOWL CTR, CP CASEY",22,22,22,22,24,24,23,21,22,22,22,-,-,22,22,0,-,,,
Casey Lodging,1940,CASEY LODGING,10,10,10,10,10,10,10,10,10,10,10,-,-,10,10,0,-,,,
Cave,3168,THE CAVE,39,40,40,39,40,41,41,41,24,41,40,-,-,40,40,0,-,,,
Club Alliance,3147,CLUB ALLIANCE,30,29,29,29,29,32,31,-,-,-,29,-,-,29,29,0,-,,,
Club Trilogy,3079,CLUB TRILOGY,28,28,28,28,28,28,28,-,-,28,30,-,-,28,28,0,-,,,
Corner Pocket,3078,CORNER POCKET,17,18,17,17,17,17,18,-,-,-,17,-,-,18,18,0,-,,,
Courtney Bowl,1107,COURTNEY B/C,15,15,15,15,15,15,15,15,-,15,15,-,-,15,15,0,-,,,
CPO Club,3148,CPO CLUB,12,12,12,12,12,12,12,-,-,-,-,-,-,12,12,0,-,,,
Crow's Nest,2523,CROW'S NEST,20,20,20,20,20,20,20,-,-,20,20,-,-,20,20,0,-,,,
Del Din C/C,3132,DEL DIN C/C,16,16,16,16,16,16,16,-,-,-,-,-,-,16,16,0,-,,,
Dragon Hill Lodge,770,DRAGON HILL LODGE,96,97,97,100,95,95,95,95,95,95,95,-,-,97,97,0,-,,,
Edelweiss Lodge & Resort,2489,EDELWEISS LODGE & RESORT,23,23,23,23,23,23,23,-,-,-,23,-,-,23,23,0,-,,,
Entertainment Center Graf.,413,ENTERTAINMENT CENTER GRAF,38,39,38,38,38,38,38,-,-,-,38,-,-,39,39,0,-,,,
Flighline Tap Room,3164,FLIGHLINE TAP ROOM,25,25,25,25,25,25,25,25,-,25,27,-,-,25,25,0,-,,,
Galaxies,3098,GALAXIES,28,28,28,28,28,28,28,-,-,-,28,-,-,28,28,0,-,,,
Galaxy Bowl,298,GALAXY B/C,24,28,24,23,24,24,24,-,-,24,24,-,-,28,28,0,-,,,
Camp Hansen TLF,797,GATEWAY CLUB,24,,,,,,,,,,,,,24,24,0,-,,,
Hansen TLF,3169,HANSEN TLF,12,12,12,12,12,12,12,12,-,-,12,-,-,12,12,0,-,,,
Harbor View Club,3096,HARBOR VIEW CLUB,27,27,27,27,27,27,27,-,-,-,27,-,-,27,27,0,-,,,
Hario,3097,HARIO,15,15,15,15,15,15,15,-,-,-,15,-,-,15,15,0,-,,,
Hashmarks,1105,HASHMARKS,20,20,20,20,20,20,20,20,-,20,-,-,-,20,20,0,-,,,
Havana's,967,HAVANA'S,6,6,6,6,6,6,6,6,-,6,6,-,-,6,6,0,-,,,
State's Grill,866,State's Grill,18,14,14,14,14,14,-,-,-,17,38,-,-,14,14,0,-,,,
La Cantina El Guerrero,869,La Cantina El Guerrero,21,21,21,21,21,21,-,-,-,21,-,-,-,21,21,0,-,,,
Hilltop,867,"HILLTOP, CP WALKER",42,40,40,40,37,46,-,-,43,47,42,-,-,40,40,0,-,,,
Hohenfels Bowl,415,HOHENFELS B/C,18,18,18,18,19,18,18,-,-,-,18,-,-,18,18,0,-,,,
Humphreys B/C,839,HUMPHREYS B/C,22,20,24,24,24,24,24,22,13,20,20,-,-,20,20,0,-,,,
Irish Pub,194,IRISH PUB,42,42,42,42,42,42,42,-,-,42,42,-,-,42,42,0,-,,,
Iwakuni Club,1137,IWAKUNI CLUB,36,36,36,36,36,36,36,36,-,36,36,-,-,36,36,0,-,,,
Jox Sports Bar,2597,JOX SPORTS BAR,20,22,19,19,19,19,19,-,-,-,-,-,-,22,22,0,-,,,
K-16 Community Club,776,"COMM CLUB, K-16",8,8,8,8,8,8,8,8,8,8,8,-,-,8,8,0,-,,,
Kastel Club,1881,KASTEL KLUB,18,19,19,17,21,17,17,-,-,-,17,-,-,19,19,0,-,,,
Kazabra,196,KAZABRA,12,12,12,12,12,12,12,-,-,-,12,-,-,12,12,0,-,,,
Kelley Community Club,280,KELLEY COMM CLUB,19,19,20,19,19,19,19,-,-,19,19,-,-,19,19,0,-,,,
La Plaza,2600,La Plaza (CHAMPIONS),29,29,29,29,29,29,29,-,-,-,29,-,-,29,29,0,-,,,
Landstuhl Consolidated Club,195,LCCC,30,30,31,30,30,30,30,-,-,-,30,-,-,30,30,0,-,,,
Langenbruck Center,1858,LANGENBRUCK CENTER,36,36,36,36,36,36,36,-,-,-,36,-,-,36,36,0,-,,,
Livorno Community Club,330,LIVORNO COMM CLUB,16,16,16,16,16,16,-,-,-,-,16,-,-,16,16,0,-,,,
Main Post Club,773,MAIN POST CLUB,22,27,27,27,19,19,13,-,-,-,-,-,-,27,27,0,-,,,
Morning Calm,3158,Morning Calm,64,70,70,70,70,70,70,42,41,69,68,-,-,70,70,0,-,,,
Naples Bowl,2591,NAPLES B/C,26,25,31,27,25,25,25,-,-,-,-,-,-,25,25,0,-,,,
Ocean Breeze,1114,OCEAN BREEZE,96,97,101,95,95,95,95,95,-,95,95,-,-,97,97,0,-,,,
Officers Club,3150,OFFICERS CLUB,13,13,13,13,13,13,13,-,-,-,-,-,-,13,13,0,-,,,
Palms,2238,Palms,46,46,46,46,46,46,46,46,-,46,46,-,-,46,46,0,-,,,
Patch Community Club,256,PATCH CMTY CLUB,56,55,56,55,56,58,55,-,-,55,55,-,-,55,55,0,-,,,
Port Call,2525,PORT CALL,9,9,9,9,9,9,9,9,-,9,9,-,-,9,9,0,-,,,
Road House,1127,ROAD HOUSE,7,7,7,7,7,7,7,-,-,-,7,-,-,7,7,0,-,,,
ROB Java Cafe,2887,ROB JAVA CAFE,12,12,12,12,12,12,9,-,-,-,12,-,-,12,12,0,-,,,
Rota Fleet Center,2605,ROTA FLEET CTR,5,5,5,5,5,5,5,-,-,-,-,-,-,5,5,0,-,,,
Rota Lanes,2601,ROTA LANES,14,13,18,13,13,13,13,-,-,-,13,-,-,13,13,0,-,,,
Sanno Hotel,2664,SANNO HOTEL,32,32,32,32,32,33,32,-,-,-,34,-,-,32,32,0,-,,,
Schinnen Bowl,1038,SCHINNEN B/C,21,20,20,22,22,22,22,-,-,-,-,-,-,20,20,0,-,,,
Seaside Club,3151,SEASIDE CLUB,33,32,32,32,32,36,32,-,-,32,35,-,-,32,32,0,-,,,
Sembach CC,3072,SEMBACH C/C,19,19,19,19,19,19,19,-,-,19,19,-,-,19,19,0,-,,,
SHA Club,885,SHA CLUB,7,7,7,7,7,7,7,-,-,7,7,-,-,7,7,0,-,,,
Shipmates,2618,GRAFFITI'S,24,24,24,24,24,24,-,24,-,-,-,-,-,24,24,0,-,,,
Sigonella Bowl,2595,SIG B/C,21,18,21,21,21,21,21,-,-,-,21,-,-,18,18,0,-,,,
Storck Barracks Bowl,438,STORCK BRK B/C,16,16,17,16,16,16,16,-,-,-,16,-,-,16,16,0,-,,,
Strikers,218,STRIKERS,33,35,33,33,33,33,33,-,-,33,33,-,-,35,35,0,-,,,
Surfside,1122,SURFSIDE,18,18,18,18,18,18,18,18,-,18,18,-,-,18,18,0,-,,,
Taiyo Golf Course,1109,TAIYO GOLF COURSE,54,61,53,53,53,53,53,53,-,53,53,-,-,61,61,0,-,,,
Takemiya Club,3149,TAKEMIYA CLUB,6,6,6,6,6,6,6,6,-,-,-,-,-,6,6,0,-,,,
Terror Club,3156,TERROR CLUB,15,15,15,15,15,15,-,-,-,-,-,-,-,15,15,0,-,,,
Torii Pines TLF,3166,TORII PINES TLF,11,12,-,-,-,-,-,-,10,10,10,-,-,12,12,0,-,,,
Turtle Cove,2521,TURTLE COVE,10,10,10,10,10,10,10,10,10,10,10,-,-,10,10,0,-,,,
Vault Club & Casino,1669,CAPPUCCINO CASINO,43,46,50,43,43,43,43,-,-,34,43,-,-,46,46,0,-,,,
Vilseck Bowl,417,VILSECK B/C,13,13,13,13,13,13,13,-,-,-,-,-,-,13,13,0,-,,,
Windy City Bowl & Grill,870,Windy City Bowl & Grill,18,18,18,17,17,17,-,-,-,17,25,-,-,18,18,0,-,,,
Warrior's,798,"WARRIOR'S, CASEY-E",13,12,12,12,12,12,12,14,14,14,14,-,-,12,12,0,-,,,
West Pac Lodge,2317,WEST PAC LODGE,16,16,16,16,16,16,16,16,-,-,16,-,-,16,16,0,-,,,
Whispers,3159,Whispers,10,10,10,10,10,10,10,10,-,-,10,-,-,10,10,0,-,,,
Wiesbaden Ent Center,2976,WIESBADEN ENT CTR,26,,,,,,,,,,,,,26,26,0,-,,,
Yokosuka B/C,3146,YOKOSUKA B/C,19,22,22,22,22,24,22,-,-,-,2,-,-,22,22,0,-,,,
Zama Bowl,886,"BOWLING CTR, CP ZAMA",16,15,15,15,15,15,16,-,-,19,17,-,-,15,15,0,-,,,
Zama Community Club,883,"COMM CLUB, CP ZAMA",31,31,29,30,30,30,31,-,-,30,33,-,-,31,31,0,- ,,,
,,,,,,,,,,,,,,,,"2,022","2,022",0,- ,,,
F&A Name,Loc#,AS400 Name,YTD Avg,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,Begin FY,End YTD,Chg #,Chg %,,,Slots counts are based on Active Machines
Ace's Game Room,3108,ACE'S GAME ROOM,10,10,10,-,-,-,-,-,-,-,-,-,-,10,-,-10,-100%,,,We determine if the slot drops once within the month
Action Lanes,437,ACTION LANES,20,20,20,-,-,-,-,-,-,-,-,-,-,20,-,-20,-100%,,,it is active
,3145,ALGIERS REC CTR,14,14,14,14,-,-,-,-,-,-,-,-,-,14,14,0,-,,,
Casey Bowl,819,"BOWL CTR, CP CASEY",24,24,24,24,-,-,-,-,-,-,-,-,-,24,24,0,-,,,
Casey Lodging,1940,CASEY LODGING,11,11,11,11,-,-,-,-,-,-,-,-,-,11,11,0,-,,,
Cave,3168,THE CAVE,41,41,41,41,-,-,-,-,-,-,-,-,-,41,41,0,-,,,
Club Alliance,3147,CLUB ALLIANCE,29,29,29,29,-,-,-,-,-,-,-,-,-,29,29,0,-,,,
Club Trilogy,3079,CLUB TRILOGY,28,28,28,28,-,-,-,-,-,-,-,-,-,28,28,0,-,,,
Corner Pocket,3078,CORNER POCKET,17,17,17,17,-,-,-,-,-,-,-,-,-,17,17,0,-,,,
,1107,COURTNEY B/C,15,15,15,15,-,-,-,-,-,-,-,-,-,15,15,0,-,,,
Entertainment Center Graf.,413,ENTERTAINMENT CENTER GRAF,38,38,38,38,-,-,-,-,-,-,-,-,-,38,38,0,-,,,
Flighline Tap Room,3164,FLIGHLINE TAP ROOM,25,25,25,25,-,-,-,-,-,-,-,-,-,25,25,0,-,,,
Galaxies,3098,GALAXIES,28,28,28,28,-,-,-,-,-,-,-,-,-,28,28,0,-,,,
Galaxy Bowl,298,GALAXY B/C,23,24,21,-,-,-,-,-,-,-,-,-,-,24,-,-24,-100%,,,
Gateway Club,797,GATEWAY CLUB,24,,,,,,,,,,,,,24,24,0,-,,,797 moved to SMS June 2019 24 EGMs (Manual Input)
Camp Hansen TLF,3169,HANSEN TLF,12,-,12,12,-,-,-,-,-,-,-,-,-,-,12,12,-,,,
,3096,HARBOR VIEW CLUB,27,27,27,27,-,-,-,-,-,-,-,-,-,27,27,0,-,,,
Hohenfels Bowl,415,HOHENFELS B/C,18,18,18,18,-,-,-,-,-,-,-,-,-,18,18,0,-,,,
Humphreys B/C,839,HUMPHREYS B/C,20,20,20,20,-,-,-,-,-,-,-,-,-,20,20,0,-,,,
Irish Pub,194,IRISH PUB,42,42,42,-,-,-,-,-,-,-,-,-,-,42,-,-42,-100%,,,
Iwakuni Club,1137,IWAKUNI CLUB,36,36,36,36,-,-,-,-,-,-,-,-,-,36,36,0,-,,,
Jox Sports Bar,2597,JOX SPORTS BAR,19,19,19,19,-,-,-,-,-,-,-,-,-,19,19,0,-,,,
K-16 Community Club,776,"COMM CLUB, K-16",14,14,14,14,-,-,-,-,-,-,-,-,-,14,14,0,-,,,
,1881,KASTEL KLUB,17,17,17,-,-,-,-,-,-,-,-,-,-,17,-,-17,-100%,,,
Livorno Community Club,330,LIVORNO COMM CLUB,16,16,16,16,-,-,-,-,-,-,-,-,-,16,16,0,-,,,
Main Post Club,773,MAIN POST CLUB,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,,,
Morning Calm,3158,Morning Calm,67,67,67,67,-,-,-,-,-,-,-,-,-,67,67,0,-,,,
Naples Bowl,2591,NAPLES B/C,25,25,-,-,-,-,-,-,-,-,-,-,-,25,-,-25,-100%,,,
Ocean Breeze,1114,OCEAN BREEZE,78,78,78,78,-,-,-,-,-,-,-,-,-,78,78,0,-,,,
Officers Club,3150,OFFICERS CLUB,13,-,-,13,-,-,-,-,-,-,-,-,-,-,13,13,-,,,
,2238,Palms,46,46,46,47,-,-,-,-,-,-,-,-,-,46,47,1,2%,,,
Sanno Hotel,2664,SANNO HOTEL,#DIV/0!,-,-,32,-,-,-,-,-,-,-,-,-,-,32,32,-,,,
Schinnen Bowl,1038,SCHINNEN B/C,22,22,22,22,-,-,-,-,-,-,-,-,-,22,22,0,-,,,
Seaside Club,3151,SEASIDE CLUB,32,32,32,32,-,-,-,-,-,-,-,-,-,32,32,0,-,,,
Sembach CC,3072,SEMBACH C/C,19,19,19,-,-,-,-,-,-,-,-,-,-,19,-,-19,-100%,,,
SHA Club,885,SHA CLUB,7,7,7,7,-,-,-,-,-,-,-,-,-,7,7,0,-,,,
Shipmates,2618,GRAFFITI'S,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,,,
,2595,SIG B/C,21,21,21,23,-,-,-,-,-,-,-,-,-,21,23,2,10%,,,
Terror Club,3156,TERROR CLUB,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,,,
Torii Pines TLF,3166,TORII PINES TLF,10,10,10,10,-,-,-,-,-,-,-,-,-,10,10,0,-,,,
Turtle Cove,2521,TURTLE COVE,10,10,10,10,-,-,-,-,-,-,-,-,-,10,10,0,-,,,
Vault Club & Casino,1669,CAPPUCCINO CASINO,43,43,43,-,-,-,-,-,-,-,-,-,-,43,-,-43,-100%,,,
Vilseck Bowl,417,VILSECK B/C,13,13,13,13,-,-,-,-,-,-,-,-,-,13,13,0,-,,,
Windy City Bowl & Grill,870,Windy City Bowl & Grill,25,25,25,25,-,-,-,-,-,-,-,-,-,25,25,0,-,,,
,798,"WARRIOR'S, CASEY-E",14,14,14,14,-,-,-,-,-,-,-,-,-,14,14,0,-,,,
Zama Community Club,883,"COMM CLUB, CP ZAMA",31,31,30,30,-,-,-,-,-,-,-,-,-,31,30,-1,-3%,,,
,,,,,,,,,,,,,,,,,,,,,,
